,bib,brackets,gender,name,surname,t_bike,t_run,t_swim,t_tranzit_1,t_tranzit_2,total_time
12,13,ALL; M; M3039,M,Сергій,Бовгира,0 days 00:55:17.000000000,0 days 01:24:16.000000000,0 days 00:13:10.000000000,0 days 00:15:06.000000000,0 days 00:56:34.000000000,0 days 01:24:16.000000000
13,14,ALL; M; M1829,M,Станіслав,Харечко,0 days 01:21:43.000000000,0 days 01:55:04.000000000,0 days 00:35:12.000000000,0 days 00:37:49.000000000,0 days 01:23:03.000000000,0 days 01:55:04.000000000
14,15,ALL; M; M4049,M,Сергій,Гуцало,0 days 01:03:00.000000000,0 days 01:32:22.000000000,0 days 00:13:36.000000000,0 days 00:16:48.000000000,0 days 01:04:15.000000000,0 days 01:32:22.000000000
15,16,ALL; M; M1829,M,Саша,Шулипа,0 days 01:00:30.000000000,0 days 01:25:24.000000000,0 days 00:12:53.000000000,0 days 00:15:59.000000000,0 days 01:01:31.000000000,0 days 01:25:24.000000000
16,17,ALL; M; M3039,M,Володимир,Гаврилюк,0 days 01:19:57.000000000,0 days 01:50:08.000000000,0 days 00:23:01.000000000,0 days 00:25:41.000000000,0 days 01:21:08.000000000,0 days 01:50:08.000000000
17,19,ALL; M; M1829,M,Ігор,Радчук,0 days 01:08:03.000000000,0 days 01:40:18.000000000,0 days 00:18:53.000000000,0 days 00:22:16.000000000,0 days 01:09:18.000000000,0 days 01:40:18.000000000
18,21,ALL; M; M3039,M,Сергій,Сидорчук,0 days 01:15:37.000000000,0 days 01:47:14.000000000,0 days 00:25:19.000000000,0 days 00:29:06.000000000,0 days 01:16:58.000000000,0 days 01:47:14.000000000
19,22,ALL; M; M50,M,Юрій,Долганов,0 days 01:04:12.000000000,0 days 01:34:30.000000000,0 days 00:13:43.000000000,0 days 00:16:01.000000000,0 days 01:05:24.000000000,0 days 01:34:30.000000000
20,23,ALL; M; M3039,M,Анатолій,Ярута,0 days 01:13:42.000000000,0 days 01:44:21.000000000,0 days 00:23:34.000000000,0 days 00:26:49.000000000,0 days 01:15:13.000000000,0 days 01:44:21.000000000
21,24,ALL; M; M4049,M,Олександр,Кравченко,0 days 01:11:49.000000000,0 days 01:50:17.000000000,0 days 00:19:12.000000000,0 days 00:21:51.000000000,0 days 01:13:00.000000000,0 days 01:50:17.000000000
22,25,ALL; M; M3039,M,Олег,Красовський,0 days 01:27:47.000000000,0 days 01:57:37.000000000,0 days 00:22:12.000000000,0 days 00:25:26.000000000,0 days 01:29:08.000000000,0 days 01:57:37.000000000
23,26,ALL; M; M1829,M,Станислав,Главадский,0 days 01:00:19.000000000,0 days 01:24:29.000000000,0 days 00:16:15.000000000,0 days 00:18:14.000000000,0 days 01:01:26.000000000,0 days 01:24:29.000000000
24,28,ALL; M; M3039,M,Леонід,Ковальов,0 days 00:54:36.000000000,0 days 01:21:57.000000000,0 days 00:10:38.000000000,0 days 00:12:24.000000000,0 days 00:55:44.000000000,0 days 01:21:57.000000000
25,29,ALL; M; M4049,M,Леонід,Гаврилюк,0 days 00:56:13.000000000,0 days 01:22:25.000000000,0 days 00:14:04.000000000,0 days 00:15:55.000000000,0 days 00:57:12.000000000,0 days 01:22:25.000000000
26,30,ALL; M; M3039,M,Олексій,Поврозник,0 days 01:03:27.000000000,0 days 01:36:23.000000000,0 days 00:16:19.000000000,0 days 00:19:06.000000000,0 days 01:05:24.000000000,0 days 01:36:23.000000000
27,31,ALL; M; M4049,M,Руслан,Слободенюк,0 days 01:03:11.000000000,0 days 01:32:42.000000000,0 days 00:16:56.000000000,0 days 00:19:22.000000000,0 days 01:04:25.000000000,0 days 01:32:42.000000000
28,32,ALL; M; M1829,M,Олександр,Устимович,0 days 00:53:24.000000000,0 days 01:17:32.000000000,0 days 00:13:16.000000000,0 days 00:14:57.000000000,0 days 00:54:21.000000000,0 days 01:17:32.000000000
29,33,ALL; M; M3039,M,Олександр,Теребуха,0 days 01:00:18.000000000,0 days 01:26:31.000000000,0 days 00:17:22.000000000,0 days 00:19:23.000000000,0 days 01:01:18.000000000,0 days 01:26:31.000000000
30,34,ALL; M; M3039,M,Сергей,Апанович,0 days 01:00:48.000000000,0 days 01:31:18.000000000,0 days 00:17:06.000000000,0 days 00:19:36.000000000,0 days 01:02:25.000000000,0 days 01:31:18.000000000
31,36,ALL; M; M3039,M,Евгений,Бураков,0 days 01:18:19.000000000,0 days 01:50:30.000000000,0 days 00:18:03.000000000,0 days 00:21:45.000000000,0 days 01:20:20.000000000,0 days 01:50:30.000000000
